"Quartier 43","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"ROQUETTE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","4 880","7.5","3 689","5.9","3 049","5.3","1 900","3.8","1 760","3.8","-7.4"
"Professions libérales et cadres supérieurs","1 367","2.1","1 397","2.2","1 427","2.5","2 115","4.3","3 300","7.1","56.0"
"Cadres moyens","3 306","5.1","3 697","6.0","3 754","6.6","4 095","8.2","4 420","9.5","7.9"
"Employés","8 069","12.4","8 437","13.6","7 873","13.7","7 475","15.0","5 480","11.8","-26.7"
"Ouvriers","15 710","24.2","13 577","21.9","11 448","20.0","8 310","16.7","6 940","14.9","-16.5"
"Personnel de service","3 650","5.6","3 544","5.7","3 422","6.0","2 740","5.5","2 620","5.6","-4.4"
"Autres actifs (2)","676","1.0","698","1.1","548","1.0","445","0.9","500","1.1","12.4"
"ACTIFS","37 658","57.9","35 039","56.4","31 521","55.0","27 080","54.5","25 020","53.7","-7.6"
"Enfants de moins de 15 ans","10 820","16.6","9 524","15.3","8 040","14.0","6 355","12.8","6 424","13.8","1.1"
"Retraités","4 121","6.3","5 226","8.4","6 203","10.8","8 210","16.5","7 840","16.8","-4.5"
"Autres sans activité professionnelle","12 411","19.1","12 312","19.8","11 546","20.1","8 075","16.2","7 316","15.7","-9.4"
"INACTIFS","27 352","42.1","27 062","43.6","25 789","45.0","22 640","45.5","21 580","46.3","-4.7"
"TOTAL","65 010","100.0","62 101","100.0","57 310","100.0","49 720","100.0","46 600","100.0","-6.3"
